CampaignID,Market,Boid,Campaign,Product,MailDate
"1","GL","7","GLJ210801-BE-SUS11","SGULS11","2021-07-30T00:00:00+07:00"
"2","GL","7","GLJ210901-BE-ECL#","EGCLL#","2021-09-15T00:00:00+07:00"
"3","GL","7","GLJ211201-BE-ECL#","EGCLL#","2021-12-15T00:00:00+07:00"
"4","GL","7","GLJ211201-BE-SCF","SGCLF","2021-11-25T00:00:00+07:00"
"5","GL","7","GLJ220601-BE-ADN","AGDLN","2022-05-26T00:00:00+07:00"
"6","GL","7","GLJ220701R-BE-PLF2","PGLLF2R","2022-07-04T00:00:00+07:00"
"7","GL","7","GLJ220801-BE-SUS15","SGULS15","2022-08-15T00:00:00+07:00"
"8","GL","7","GLJ221003-BE-CPN","CGPLN","2022-10-13T00:00:00+07:00"
"9","GL","7","GLJ230402-BE-CRK","CGRLKC","2023-03-27T00:00:00+07:00"
"10","GL","7","GLJ220102-BE-MBA2","MGBLA2","2021-12-30T00:00:00+07:00"
"11","GL","7","GLJ221201-BE-LON","LGOLN","2022-12-09T00:00:00+07:00"
"12","GL","7","GLJ230901-BE-5HE2#","5GHLE2#","2023-09-13T00:00:00+07:00"
"13","GL","7","GLJ211001-BE-GOM","GGOLM","2021-09-23T00:00:00+07:00"
"14","GL","7","GLJ220201-BE-SUS13","SGULS13","2022-02-14T00:00:00+07:00"
"15","GL","7","GLJ220301R-BE-PEA","PGVLR2","2022-03-21T11:51:40+07:00"
"16","GL","7","GLJ220401H-BE-PWD2#","PGWLD2#","2022-04-14T00:00:00+07:00"
"17","GL","7","GLJ220402-BE-HCT","HGCLT","2022-03-31T00:00:00+07:00"
"18","GL","7","GLJ221112H-BYD","BGYLD","2022-10-26T00:00:00+07:00"
"19","GL","7","GLJ221201-BE-CARE","CGALRE","2022-11-22T00:00:00+07:00"
"20","GL","7","GLJ231002-BE-TV2C","TGVL2C","2023-09-28T00:00:00+07:00"
"21","GL","7","GLJ240101-BE-CTMC","CGTLMAC","2024-01-01T00:00:00+07:00"
"22","GL","7","GLJ211101-BE-AOF","AGOLF","2021-10-22T00:00:00+07:00"
"23","GL","7","GLJ220620-OSL-MRC3#","CGRLI2#","2022-07-05T11:31:51+07:00"
"24","GL","7","GLJ220701-BE-PLF2","PGLLF2","2022-06-27T00:00:00+07:00"
"25","GL","7","GLJ221101R-BE-PEP2","PGELP2R","2022-10-28T00:00:00+07:00"
"26","GL","7","GLJ230501-BE-SUS18","SGULS18","2023-05-12T00:00:00+07:00"
"27","GL","7","GLJ230901-BE-AMA","AGMLA","2023-08-28T00:00:00+07:00"
"28","GL","7","GLJ231102-BE-IRI","IGRLI","2023-10-26T00:00:00+07:00"
"29","GL","7","GLJ240301H-BE-LTO3#","LGTLO3#","2024-03-13T00:00:00+07:00"
"30","GL","7","GLJ220901-BE-7PS#","7GPLS#","2022-09-12T00:00:00+07:00"
"31","GL","7","GLJ230102-BE-TOL2","TGOLL2C","2022-12-28T00:00:00+07:00"
"32","GL","7","GLJ230201-BE-SUS17","SGULS17","2023-02-14T00:00:00+07:00"
"33","GL","7","GLJ230302R-BE-AOF2","AGOLF2R","2023-02-28T00:00:00+07:00"
"34","GL","7","GLJ230802-BE-ALU","AGLLU","2023-07-26T00:00:00+07:00"
"35","GL","7","GLJ210701-BE-FOI","FGOLI","2021-06-28T00:00:00+07:00"
"36","GL","7","GLJ210801-BE-LVD2","LGVLD2","2021-08-13T00:00:00+07:00"
"37","GL","7","GLJ210901-BE-BKS","BGKLS","2021-09-01T00:00:00+07:00"
"38","GL","7","GLJ220620-OSL-MRC3#","TGMLC","2022-07-22T14:58:17+07:00"
"39","GL","7","GLJ220701-BE-GMS#","GGMLS#","2022-07-14T00:00:00+07:00"
"40","GL","7","GLJ211112H-39L","3G9LL","2021-10-27T00:00:00+07:00"
"41","GL","7","GLJ220501H-BE-SUS14","SGULS14","2022-05-12T00:00:00+07:00"
"42","GL","7","GLJ220620-OSL-MRC3#","TGRLN2","2022-07-12T14:02:25+07:00"
"43","GL","7","GLJ221001-BE-7GC","7GGLC","2022-09-26T00:00:00+07:00"
"44","GL","7","GLJ221201H-BE-NAN2#","NGALN2#","2022-11-25T00:00:00+07:00"
"45","GL","7","GLJ230702-BE-ISS","IGSLSC","2023-06-26T00:00:00+07:00"
"46","GL","7","GLJ210601-BE-GFOR","GGFLOR","2021-06-14T00:00:00+07:00"
"47","GL","7","GLJ220301R-BE-PEA","PGELAR","2022-03-05T00:00:00+07:00"
"48","GL","7","GLJ220620-OSL-MRC3#","HGLLP3","2022-07-05T08:43:14+07:00"
"49","GL","7","GLJ220901R-BE-MOY2","MGOLY2R","2022-08-30T00:00:00+07:00"
"50","GL","7","GLJ210601-BE-THT","TGHLT","2021-05-27T00:00:00+07:00"
"51","GL","7","GLJ220202-BE-LUD","LGULD","2022-01-28T00:00:00+07:00"
"52","GL","7","GLJ220301-BE-PEA","PGELA","2022-02-28T00:00:00+07:00"
"53","GL","7","GLJ220501-BE-PLT","PGLLT","2022-04-26T00:00:00+07:00"
"54","GL","7","GLJ220601H-BE-SER2#","SGELR2#","2022-06-16T00:00:00+07:00"
"55","GL","7","GLJ220601R-BE-ADN","AGDLNR","2022-05-30T00:00:00+07:00"
"56","GL","7","GLJ220802-BE-SUS15","SGULS15","2022-08-15T00:00:00+07:00"
"57","GL","7","GLJ220901-BE-MOY2","MGOLY2","2022-08-26T00:00:00+07:00"
"58","GL","7","GLJ221001R-BE-7GC","7GGLCR","2022-09-29T00:00:00+07:00"
"59","GL","7","GLJ230202-BE-GIL","GGILL","2023-01-27T00:00:00+07:00"
"60","GL","7","GLJ230202R-BE-GIL","GGILLR","2023-01-30T00:00:00+07:00"
"61","GL","7","GLJ230301-BE-TEI2#","TGELI2#","2023-03-13T00:00:00+07:00"
"62","GL","7","GLJ230302-BE-AOF2","AGOLF2","2023-02-27T00:00:00+07:00"
"63","GL","7","GLJ230502-BE-BFO","BGFLO","2023-04-28T00:00:00+07:00"
"64","GL","7","GLJ210501-BE-SUS10","SGULS10","2021-05-07T00:00:00+07:00"
"65","GL","7","GLJ210701-BE-FOI","SGRLE3","2021-07-16T11:21:49+07:00"
"66","GL","7","GLJ220501-BE-PLT","7GULN2","2022-05-17T11:24:29+07:00"
"67","GL","7","GLJ220501D-BE-PLT","PGLLTR","2022-04-28T00:00:00+07:00"
"68","GL","7","GLJ220501H-BE-SUS14","SGSLC3#","2022-05-31T10:47:30+07:00"
"69","GL","7","GLJ220801HD-BE-PCD","PGCLDR","2022-07-26T00:00:00+07:00"
"70","GL","7","GLJ221101-BE-SUS16","SGULS16","2022-11-11T00:00:00+07:00"
"71","GL","7","GLJ221201HD-BE-NAN2#","NGALN2R#","2022-11-25T00:00:00+07:00"
"72","GL","7","GLJ230102R-BE-TOL2","TGOLL2RC","2023-01-03T00:00:00+07:00"
"73","GL","7","GLJ231203-INT-ATL4","AGTLL4","2023-11-27T00:00:00+07:00"
"74","GL","7","GLJ240201-BE-PDL","PGDLL","2024-01-26T00:00:00+07:00"
"75","GL","7","GLJ211101-BE-SUS12","SGULS12","2021-11-15T00:00:00+07:00"
"76","GL","7","GLJ220101-BE-3MC","3GMLC","2022-01-14T00:00:00+07:00"
"77","GL","7","GLJ220801H-BE-PCD","PGCLD","2022-07-26T00:00:00+07:00"
"78","GL","7","GLJ230801-BE-SUS19","SGULS19","2023-08-14T00:00:00+07:00"
"79","GL","7","GLJ231101-BE-SUS4","SGULS4","2023-11-13T00:00:00+07:00"
"80","GL","7","GLJ221101-BE-PEP2","PGELP2","2022-10-26T00:00:00+07:00"
"81","GL","7","GLJ230601-BE-LIB2#","LGILB2#","2023-06-12T00:00:00+07:00"
"82","GL","7","GLJ230602-BE-NEV2","NGELV2","2023-05-26T00:00:00+07:00"
"83","GL","7","GLJ231112-REA-DBD2#","DGBLD2#","2023-10-27T00:00:00+07:00"
"84","GL","9","GLJ220201-BE-SUS","SGULS","2022-02-14T00:00:00+07:00"
"85","GL","9","GLJ220710-REA-GMS#","GGMLS#","2022-07-01T00:00:00+07:00"
"86","GL","9","GLJ221111-INT-YKP2#","CGALT#","2022-11-29T11:52:01+07:00"
"87","GL","9","GLJ221111-INT-YKP2#","NGUL92#","2022-11-29T11:52:01+07:00"
"88","GL","9","GLJ231102-BE-SUS4","SGULS4","2023-11-13T00:00:00+07:00"
"89","GL","9","GLJ210901-BE-GFO#","GGFLO#","2021-09-15T00:00:00+07:00"
"90","GL","9","GLJ211102-BE-SUS8","SGULS8","2021-11-15T00:00:00+07:00"
"91","GL","9","GLJ230402R-BE-CRK","CGRLKRC","2023-03-31T00:00:00+07:00"
"92","GL","9","GLJ230901-BE-5HE2#","5GHLE2#","2023-09-13T00:00:00+07:00"
"93","GL","9","GLJ210901-BE-BKS","BGKLS","2021-09-01T00:00:00+07:00"
"94","GL","9","GLJ221111-INT-YKP2#","YGKLP2#","2022-11-01T00:00:00+07:00"
"95","GL","9","GLJ221111B-INT-YKP2#","MGMLA","2022-11-30T09:51:16+07:00"
"96","GL","9","GLJ230202-BE-GIL","GGILL","2023-01-27T00:00:00+07:00"
"97","GL","9","GLJ230203H-BYD","BGYLD","2023-01-26T00:00:00+07:00"
"98","GL","9","GLJ230502-BE-BFO","BGFLO","2023-04-28T00:00:00+07:00"
"99","GL","9","GLJ230602-BE-NEV2","NGELV2","2023-05-26T00:00:00+07:00"
"100","GL","9","GLJ230901-BE-AMA","AGMLA","2023-08-28T00:00:00+07:00"
"101","GL","9","GLJ221111B-INT-YKP2#","HGBL2","2022-12-09T10:03:04+07:00"
"102","GL","9","GLJ221201-BE-PCD","PGCLD","2022-12-01T00:00:00+07:00"
"103","GL","9","GLJ230202-BE-SUS17","SGULS17","2023-02-14T00:00:00+07:00"
"104","GL","9","GLJ230202R-BE-GIL","GGILLR","2023-01-30T00:00:00+07:00"
"105","GL","9","GLJ230601-BE-LIB2#","LGILB2#","2023-06-12T00:00:00+07:00"
"106","GL","9","GLJ230602R-BE-NEV2","NGELV2R","2023-05-30T00:00:00+07:00"
"107","GL","9","GLJ220401-BE-AOF","AGOLF","2022-03-31T00:00:00+07:00"
"108","GL","9","GLJ220501-BE-PEA","PGELA","2022-04-28T00:00:00+07:00"
"109","GL","9","GLJ220801-BE-ADN","AGDLN","2022-08-01T00:00:00+07:00"
"110","GL","9","GLJ230802-BE-ALU","AGLLU","2023-07-26T00:00:00+07:00"
"111","GL","9","GLJ231101-BE-IRI","IGRLI","2023-10-26T00:00:00+07:00"
"112","GL","9","GLJ210601-BE-THT","TGHLT","2021-05-27T00:00:00+07:00"
"113","GL","9","GLJ211102-BE-AOF","AGOLF","2021-10-29T00:00:00+07:00"
"114","GL","9","GLJ220202-BE-LUD","LGULD","2022-01-28T00:00:00+07:00"
"115","GL","9","GLJ221011-INT-CPN","CGPLN","2022-10-01T00:00:00+07:00"
"116","GL","9","GLJ221111B-INT-YKP2#","CGOLA","2023-01-25T10:45:57+07:00"
"117","GL","9","GLJ230502-BE-SUS18","SGULS18","2023-05-12T00:00:00+07:00"
"118","GL","9","GLJ210601-BE-GFOR","GGFLOR","2021-06-14T00:00:00+07:00"
"119","GL","9","GLJ221111B-INT-YKP2#","OGALT4","2022-12-27T10:21:21+07:00"
"120","GL","9","GLJ230502D-BE-BFO","BGFLOR","2023-04-28T00:00:00+07:00"
"121","GL","9","GLJ230901-BE-ISS","IGSLSC","2023-09-01T00:00:00+07:00"
"122","GL","9","GLJ210802-BE-SUS7","SGULS7","2021-07-30T00:00:00+07:00"
"123","GL","9","GLJ220103-BE-MBA2","MGBLA2","2022-01-02T00:00:00+07:00"
"124","GL","9","GLJ210701-BE-FOI","FGOLI","2021-06-28T00:00:00+07:00"
"125","GL","9","GLJ210801-BE-LVD2","LGVLD2","2021-08-13T00:00:00+07:00"
"126","GL","9","GLJ211202-BE-SCF","SGCLF","2021-12-01T00:00:00+07:00"
"127","GL","9","GLJ220901H-BE-SER2#","SGELR2#","2022-09-01T00:00:00+07:00"
"128","GL","9","GLJ221211-INT-PCD","PGCLD","2022-12-01T00:00:00+07:00"
"129","GL","9","GLJ230302-BE-AOF2","AGOLF2","2023-02-27T00:00:00+07:00"
"130","GL","9","GLJ230402-BE-CRK","CGRLKC","2023-03-27T00:00:00+07:00"
"131","GL","9","GLJ231201-BE-ATL4","AGTLL4","2023-11-27T00:00:00+07:00"
"132","GL","9","GLJ240203-REA-DBD2#","DGBLD2#","2024-01-26T00:00:00+07:00"
"133","GL","9","GLJ210502-BE-SUS10","SGULS10","2021-05-07T00:00:00+07:00"
"134","GL","9","GLJ211002-BE-GOM","GGOLM","2021-10-01T00:00:00+07:00"
"135","GL","9","GLJ220610-REA-SWE2","SGWLE2","2022-06-01T00:00:00+07:00"
"136","GL","9","GLJ230102-BE-TOL2","TGOLL2C","2022-12-28T00:00:00+07:00"
"137","GL","9","GLJ230301-BE-TEI2#","TGELI2#","2023-03-13T00:00:00+07:00"
"138","GL","9","GLJ230302R-BE-AOF2","AGOLF2R","2023-02-28T00:00:00+07:00"
"139","GL","9","GLJ231001-BE-TV2C","TGVL2C","2023-09-28T00:00:00+07:00"
"140","GL","10","GLJ210903-INT-BKS","HGLLP2","2021-09-16T11:36:47+07:00"
"141","GL","10","GLJ220202-BE-SUS13","SGULS13","2022-02-14T00:00:00+07:00"
"142","GL","10","GLJ221002-BE-CPN","PGLLF2","2022-11-17T11:51:42+07:00"
"143","GL","10","GLJ221102-BE-SUS16","SGULS16","2022-11-11T00:00:00+07:00"
"144","GL","10","GLJ210903-INT-BKS","TGRLN","2021-09-27T18:19:00+07:00"
"145","GL","10","GLJ220601H-BE-SER2#","SGELR2#","2022-06-16T00:00:00+07:00"
"146","GL","10","GLJ221201-BE-LON","LGOLN","2022-12-09T00:00:00+07:00"
"147","GL","10","GLJ211201-BE-ECL#","EGCLL#","2021-12-15T00:00:00+07:00"
"148","GL","10","GLJ220502-BE-PLT","PGLLT","2022-04-28T00:00:00+07:00"
"149","GL","10","GLJ220602-BE-ADN","HGELA2","2022-07-07T11:51:03+07:00"
"150","GL","10","GLJ220702-BE-PLF2","PGLLF2","2022-06-30T00:00:00+07:00"
"151","GL","10","GLJ230301-BE-TEI2#","TGELI2#","2023-03-13T00:00:00+07:00"
"152","GL","10","GLJ230901-BE-AMA","AGMLA","2023-08-28T00:00:00+07:00"
"153","GL","10","GLJ231001-BE-TV2C","TGVL2C","2023-09-28T00:00:00+07:00"
"154","GL","10","GLJ231101-BE-IRI","IGRLI","2023-10-26T00:00:00+07:00"
"155","GL","10","GLJ220202-BE-LUD","LGULD","2022-01-28T00:00:00+07:00"
"156","GL","10","GLJ220301R-BE-PEA","PGELAR","2022-03-05T00:00:00+07:00"
